Tm,HR,CS,BA,OBP,GDP,SF,WR,ERR,ERA,BB,TEAM
Toronto Blue Jays 2018,1.34,0.19,0.244,0.312,0.73,0.23,0.451,0.63,4.30,3.46,Toronto Blue Jays
Washington Nationals 2018,1.18,0.20,0.254,0.335,0.64,0.25,0.506,0.40,5.19,3.03,Washington Nationals
Arizona Diamondbacks 2017,1.38,0.18,0.254,0.329,0.66,0.33,0.566,0.67,3.74,3.25,Arizona Diamondbacks
Atlanta Braves 2017,1.02,0.19,0.263,0.326,0.85,0.17,0.444,0.60,4.72,3.65,Atlanta Braves
Baltimore Orioles 2017,1.43,0.08,0.260,0.312,0.85,0.30,0.463,0.58,4.97,3.62,Baltimore Orioles
Boston Red Sox 2017,1.04,0.19,0.258,0.329,0.87,0.27,0.566,0.66,3.78,2.84,Boston Red Sox
Chicago Cubs 2017,1.35,0.17,0.255,0.338,0.82,0.22,0.558,0.60,3.99,3.56,Chicago Cubs
Chicago White Sox 2017,1.15,0.19,0.256,0.314,0.77,0.19,0.414,0.70,4.78,4.00,Chicago White Sox
Cincinnati Reds 2017,1.35,0.24,0.253,0.329,0.72,0.16,0.420,0.50,5.17,3.97,Cincinnati Reds
Cleveland Indians 2017,1.30,0.14,0.263,0.339,0.75,0.28,0.623,0.51,3.29,2.58,Cleveland Indians
Colorado Rockies 2017,1.19,0.21,0.273,0.338,0.88,0.25,0.534,0.47,4.56,3.34,Colorado Rockies
Detroit Tigers 2017,1.15,0.21,0.258,0.324,0.79,0.35,0.395,0.52,5.39,3.41,Detroit Tigers
Houston Astros 2017,1.47,0.24,0.282,0.346,0.86,0.23,0.622,0.58,4.12,3.22,Houston Astros
Kansas City Royals 2017,1.19,0.19,0.259,0.311,0.99,0.32,0.494,0.49,4.61,3.25,Kansas City Royals
Los Angeles Angels 2017,1.15,0.27,0.243,0.315,0.87,0.20,0.494,0.49,4.20,2.94,Los Angeles Angels
Los Angeles Dodgers 2017,1.38,0.18,0.249,0.334,0.73,0.22,0.644,0.53,3.38,2.71,Los Angeles Dodgers
Miami Marlins 2017,1.20,0.19,0.267,0.331,0.73,0.23,0.475,0.45,4.82,3.91,Miami Marlins
Milwaukee Brewers 2017,1.38,0.25,0.249,0.322,0.72,0.17,0.531,0.71,4.00,3.44,Milwaukee Brewers
